anio,municipio_id,municipio_nombre,promocion_efectiva_primaria,promocion_efectiva_secundaria,repitencia_primaria,repitencia_secundaria,reinscripcion_primaria,reinscripcion_secundaria,abandono_interanual_primaria,abandono_interanual_secundaria,alumnos_promovidos_primaria,alumnos_promovidos_secundaria,alumnos_no_promovidos_primaria,alumnos_no_promovidos_secundaria,salidos_sin_pase_primaria,salidos_sin_pase_secundaria,salidos_con_pase_primaria,salidos_con_pase_secundaria,sobreedad_primaria,sobreedad_secundaria,sobreedad_avanzada_primaria,sobreedad_avanzada_secundaria
2012,6007,Adolfo Alsina,100.26,84.14,1.25,9.06,0.07,1.79,-1.57,5.01,98.55,81.46,1.45,18.54,0.0,2.71,5.4,2.9,12.61,26.77,4.01,12.28
2013,6007,Adolfo Alsina,97.35,86.84,1.68,5.31,0.13,0.12,0.84,7.73,99.3,90.52,0.7,9.48,0.3,2.77,5.02,5.72,10.27,26.27,3.42,11.51
2014,6007,Adolfo Alsina,97.36,80.79,2.23,2.52,0.07,0.43,0.34,16.26,99.31,90.87,0.69,9.13,0.13,2.11,4.84,4.31,8.46,25.06,2.51,9.17
2015,6007,Adolfo Alsina,96.0,91.55,2.41,5.24,0.21,0.85,1.38,2.36,98.53,91.38,1.47,8.62,0.33,2.49,4.96,4.64,7.16,30.85,1.86,10.51
2016,6007,Adolfo Alsina,97.67,95.56,2.61,7.27,0.07,1.29,-0.35,-4.12,98.42,93.05,1.58,6.95,0.14,2.79,4.72,3.57,6.81,26.13,1.69,8.24
2017,6007,Adolfo Alsina,97.12,81.23,3.09,5.69,0.07,0.3,-0.28,12.77,98.32,92.52,1.68,7.48,0.13,2.41,4.44,4.76,7.78,18.64,1.75,7.93
2018,6007,Adolfo Alsina,94.94,86.14,4.08,11.06,0.21,0.37,0.77,2.42,98.24,92.99,1.76,7.01,0.2,0.6,5.67,4.88,8.27,20.88,1.54,6.77
2019,6007,Adolfo Alsina,96.15,90.43,3.64,4.82,0.0,0.18,0.21,4.57,98.72,93.82,1.28,6.18,0.0,1.92,3.26,6.67,6.56,19.27,1.14,7.93
2020,6007,Adolfo Alsina,98.82,98.17,0.63,0.32,0.07,0.13,0.49,1.39,100.0,97.26,0.0,2.74,0.07,0.13,5.01,5.71,5.78,17.03,0.9,6.18
2021,6007,Adolfo Alsina,97.82,91.86,2.86,4.54,0.07,0.32,-0.75,3.28,98.85,89.47,1.15,10.53,0.13,1.04,0.9,0.95,4.84,12.93,0.61,4.35
2022,6007,Adolfo Alsina,96.13,91.37,3.01,5.77,0.07,0.13,0.8,2.73,97.32,88.51,2.68,11.49,0.13,1.26,3.34,4.34,4.14,12.94,0.53,4.06
2012,6021,Alberti,96.39,85.69,2.61,8.49,0.0,1.34,1.0,4.47,98.5,82.09,1.5,17.91,0.48,4.26,4.32,4.51,7.01,32.34,1.8,13.71
2013,6021,Alberti,96.86,83.3,1.42,7.41,0.0,0.0,1.72,9.29,99.9,84.01,0.1,15.99,0.0,2.55,2.71,5.03,7.09,29.19,1.42,12.54
2014,6021,Alberti,97.15,89.18,3.76,10.48,0.81,0.45,-1.73,-0.11,99.09,85.16,0.91,14.84,0.0,1.19,3.74,7.64,6.21,33.33,0.81,15.48
2015,6021,Alberti,94.74,83.21,3.51,11.05,0.29,1.17,1.46,4.57,98.73,85.19,1.27,14.81,0.0,0.42,4.19,6.37,5.94,23.49,0.97,7.12
2016,6021,Alberti,98.44,84.08,2.83,10.51,0.1,0.31,-1.37,5.1,98.93,82.92,1.07,17.08,0.0,1.43,2.76,6.48,5.37,25.81,1.07,8.74
2017,6021,Alberti,92.98,81.78,3.93,12.9,0.0,0.0,3.09,5.32,98.57,83.46,1.43,16.54,0.09,2.83,4.1,3.16,3.84,25.79,0.84,9.11
2018,6021,Alberti,93.55,89.64,4.43,4.53,0.0,0.2,2.02,5.63,99.51,87.39,0.49,12.61,0.0,1.0,4.3,3.74,4.24,23.54,0.48,8.45
2019,6021,Alberti,95.49,90.49,4.71,9.61,0.1,1.02,-0.29,-1.12,97.97,89.69,2.03,10.31,0.09,0.89,5.0,4.89,5.96,20.76,1.25,7.26
2020,6021,Alberti,100.67,99.61,0.48,0.0,0.0,0.0,-1.14,0.39,100.0,100.0,0.0,0.0,0.09,0.0,2.35,6.03,6.08,20.15,0.86,7.33
2021,6021,Alberti,93.64,92.04,5.6,5.88,0.0,0.0,0.76,2.09,97.94,96.48,2.06,3.52,0.09,0.55,0.57,1.71,4.84,29.29,0.38,9.0
2022,6021,Alberti,96.21,90.9,3.88,4.83,0.49,0.0,-0.58,4.27,97.67,90.15,2.33,9.85,0.0,1.93,3.25,2.94,6.21,19.15,0.97,5.69
2012,6028,Almirante Brown,96.43,79.78,2.98,10.14,0.23,1.51,0.36,8.56,96.82,76.92,3.18,23.08,0.41,3.12,3.7,3.86,13.95,40.53,4.18,18.3
2013,6028,Almirante Brown,97.73,79.2,1.74,11.57,0.12,1.75,0.42,7.49,98.27,76.75,1.73,23.25,0.2,2.57,3.58,3.45,12.52,36.39,3.78,16.21
2014,6028,Almirante Brown,97.06,81.33,2.17,10.66,0.08,1.75,0.69,6.26,97.71,78.55,2.29,21.45,0.37,1.87,3.11,4.07,10.08,37.28,3.04,15.53
2015,6028,Almirante Brown,96.89,80.94,2.29,9.96,0.08,1.31,0.74,7.8,97.65,77.62,2.35,22.38,0.22,2.05,3.26,3.37,9.17,34.06,2.46,14.76
2016,6028,Almirante Brown,95.89,82.28,3.7,9.96,0.22,2.06,0.19,5.71,97.17,79.68,2.83,20.32,0.12,1.74,3.3,3.43,8.65,32.72,2.28,13.64
2017,6028,Almirante Brown,95.21,82.09,3.47,11.1,0.22,1.39,1.11,5.42,97.4,80.05,2.6,19.95,0.12,1.41,3.34,2.87,8.09,31.41,2.08,12.79
2018,6028,Almirante Brown,95.3,85.56,3.77,9.57,0.06,1.67,0.87,3.2,97.31,82.78,2.69,17.22,0.1,0.8,3.44,3.39,7.5,30.22,2.02,12.17
2019,6028,Almirante Brown,96.2,87.16,3.03,7.85,0.18,1.43,0.59,3.56,97.68,84.6,2.32,15.4,0.08,0.87,3.32,2.62,7.2,27.79,1.85,11.27
